name,city_id,is_activated,category,latitude,longitude,province_id
Dr. Fedai Barcan,34,TRUE,4,41.034288,28.911855,430
Gülümse Psikolojik Danışmanlık Merkezi,34,TRUE,6,41.045553,28.908835,430
Özel Göz Nurunu Koruma Vakfı Bayrampaşa Göz Hastanesi,34,TRUE,9,41.039379,28.912239,430
Özel Bayrampaşa İlkdent Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.033893,28.90154,430
Özel Avrupa Akademi Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.033379,28.899326,430
Stil Gözlük,34,TRUE,5,41.015161,28.975161,441
Diş Hekimi İsmail Alioğlu,34,TRUE,7,41.045594,28.905223,430
Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.035711,28.910227,430
Paşa Psikoteknik Değerlendirme Merkezi,34,TRUE,10,41.038309,28.912487,430
Cihan Optik,34,TRUE,5,41.036701,28.909717,430
Diş Hekimi Fehime Dedeoğlu - Mehmet Dedeoğlu,34,TRUE,7,41.0452,28.907321,430
Diş Hekimi Tugay Hüseyin,34,TRUE,7,41.035348,28.912962,430
Operatör Dr. Ebru Coşkun Kadın Hastalıkları ve Doğum Uzmanı,34,TRUE,4,41.073783,28.902351,442
Dr. İsmet Buşat,34,TRUE,4,41.037908,28.911759,430
Diş Hekimi Nevin Özey,34,TRUE,7,41.034289,28.911863,430
Beşyıldız Psikoteknik,34,TRUE,10,40.883695,29.23488,449
Diş Hekimi Bülent Kaplan,34,TRUE,7,41.04575,28.905425,430
İnan Optik,34,TRUE,5,41.039169,28.912227,430
Kalender Optik,34,TRUE,5,41.03536,28.910504,430
World Medikal,34,TRUE,1,41.031498,28.913341,460
Diş Hekimi Serdar Yalçın,34,TRUE,7,41.038482,28.912048,430
Si-Set İşitme Cihazları,34,TRUE,11,41.042337,28.904379,430
Dentekip,34,TRUE,7,41.04512,28.906388,430
Erdem Optik,34,TRUE,5,41.036807,28.909507,430
Gözlük Dünyası,34,TRUE,5,41.035594,28.913452,430
Akademi Optik,34,TRUE,5,41.036891,28.912062,430
Elie Optik,34,TRUE,5,41.032761,28.900724,430
Diş Hekimi Özcan Kılıç,34,TRUE,7,41.045152,28.906134,430
Gökay Medikal,34,TRUE,1,41.064912,28.820066,426
Diş Hekimi Nuri Taylan,34,TRUE,7,41.039057,28.90756,430
Else Optik,34,TRUE,5,41.045174,28.906001,430
Diş Hekimi Serpil Süral Çavdar,34,TRUE,7,41.036312,28.909797,430
Aktif Medikal,34,TRUE,1,41.042433,28.904014,430
Ercan Optik,34,TRUE,5,41.035387,28.91306,430
Gündem Optik,34,TRUE,5,41.039237,28.912226,430
Diş Hekimi Muzaffer ve F. Arzu Erdoğral,34,TRUE,7,41.044699,28.909448,430
Diş Hekimi,34,TRUE,7,41.042734,28.909317,430
Göz Vakfı Optik,34,TRUE,5,41.03921,28.912227,430
Özel Ertaş Diş Sağlığı Merkezi,34,TRUE,2,41.036522,28.912369,430
Özel Kaletürk Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,41.041181,28.908135,430
Bay Optik,34,TRUE,5,41.042138,28.903748,430
Bay Optik,34,TRUE,5,41.039273,28.912226,430
Diş Hekimi Hakan Köse,34,TRUE,7,41.042242,28.904106,430
İpek Optik,34,TRUE,5,41.041757,28.903573,430
Mavi Göz Optik,34,TRUE,5,41.05906,28.913511,442
Diş Hekimi E. Safa Koçak,34,TRUE,7,41.039243,28.907312,430
Fark Optik,34,TRUE,5,41.038533,28.912001,430
Dentamir Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.051598,28.905703,430
Ferhat Medikal Ortopedi,34,TRUE,1,41.042263,28.904022,430
Gündem Optik,34,TRUE,5,41.035613,28.913549,430
Çınar Terkuran,34,TRUE,7,41.037273,28.905687,430
Diş Hekimi Sevgi Güneş,34,TRUE,7,41.03322,28.898078,430
Belkıs Şahin,34,TRUE,7,41.060606,28.913661,442
Özel Bayrampaşa Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.037345,28.912117,430
Diş Hekimi Mehmet Onbaşıoglu,34,TRUE,7,41.060616,28.913663,442
Helix İşitme Cihazları,34,TRUE,11,41.042246,28.903797,430
Bakırköy Özel 360 Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,40.978694,28.874485,428
Özel Bayrampaşa Psikoteknik Değerlendirme Merkezi,34,TRUE,10,41.038388,28.895877,430
Meyra Medikal,34,TRUE,1,40.978557,28.873762,428
Diş Hekimi Ali Toncer,34,TRUE,7,41.045866,28.934404,440
Odyovest İşitme Cihazları,34,TRUE,11,41.036861,28.884047,438
Diş Hekimi Halil Dokuyucu,34,TRUE,7,40.979729,28.874365,428
Gözüm Optik,34,TRUE,5,40.978442,28.873844,428
Evren Profesyonel Gözlük Tamircisi,34,TRUE,5,40.978498,28.873786,428
Öztürk Medikal Ortopedi,34,TRUE,1,41.044167,28.904653,430
Dinç Optik 2,34,TRUE,5,40.997914,28.904334,460
İBB Psikolojik Danışmanlık Merkezi,34,TRUE,12,41.040045,28.909692,430
Kent Optik,34,TRUE,5,41.041982,28.903676,430
3 A Dental Klinik,34,TRUE,7,41.059022,28.913762,442
Bayrampaşa Devlet Hastanesi,34,TRUE,13,41.041463,28.903141,430
Özel Fizyodem Tıp Merkezi,34,TRUE,14,41.037068,28.90922,430
Göznur Optik,34,TRUE,5,41.035454,28.913375,430
New Mode Orta Doğu Medikal,34,TRUE,1,41.033647,28.916464,430
Müsekkin Terapi Fizyoterapi & Sağlıklı Yaşam Danışmanlık Merkezi,34,TRUE,4,41.03535,28.898196,430
Enesim Optik,34,TRUE,5,41.042462,28.903909,430
Meliha Hasanoğlu,34,TRUE,7,41.059736,28.913586,442
Vakıf Optik,34,TRUE,5,41.03909,28.912228,430
Diş Hekimi Fatma Ataç (Türkkan),34,TRUE,7,41.0459,28.905631,430
Diş Hekimi Alaattin Oral,34,TRUE,7,41.036318,28.913511,430
Medi World Tıp Merkezi,34,TRUE,14,41.037973,28.912395,430
Özel Aksa Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.000247,28.89817,460
Diş Hekimi Rüştü Can,34,TRUE,7,41.035683,28.884141,438
Gültekin Optik,34,TRUE,5,41.039613,28.882718,438
Özel Amethyst Çok Amaçlı Diş Protez Laboratuvarı,34,TRUE,15,41.054143,28.916114,440
Diş Hekimi Ali Gürlek,34,TRUE,7,41.042723,28.847799,426
Güngören Ağız ve Diş Sağlığı Merkezi Esenler Diş Polikliniği,34,TRUE,16,41.037506,28.87982,438
Dentagross Zeytinburnu,34,TRUE,2,41.01255,28.909923,460
Diş Hekimi Kezban Çiftçi,34,TRUE,7,41.038003,28.870979,426
Medikal ve Ortopedi Ürünleri,34,TRUE,1,40.984027,28.8961,460
Diyetisyen Ahmet Kaya,34,TRUE,8,40.979433,28.874408,428
Özel Plaza Diş,34,TRUE,2,41.002194,28.904209,460
Diş Hekimi Hasan Göktaş,34,TRUE,7,41.039516,28.869755,438
Tan Gözlük Sanayi,34,TRUE,5,41.065387,28.827036,426
Özel 3B Dent Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.004649,28.980052,441
Diş Hekimi Rıfat Yıldız,34,TRUE,7,41.004632,28.979801,441
Özel Avrasya Hastanesi,34,TRUE,17,41.003261,28.907044,460
Özel Güney Hastanesi,34,TRUE,17,41.04381,28.879521,438
Gözde Medikal,34,TRUE,1,41.039515,28.874279,438
Duha Optik,34,TRUE,5,41.01186,28.873287,443
Garanti Sağlık Merkezi,34,TRUE,14,40.980381,28.874543,428
Özel Zeytinburnu Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,40.998683,28.910776,460
Mora Optik,34,TRUE,5,41.01672,28.951507,441
Diş Hekimi İlyas Oğur,34,TRUE,7,40.995215,28.902289,460
Betül Şimşek Uzman Klinik Psikolog,34,TRUE,6,41.034766,28.866837,426
Diş Hekimi Rüstem Beyazay,34,TRUE,7,41.01368,28.87149,443
Diş Hekimi Serdar Güler,34,TRUE,7,41.038693,28.874901,438
Medikal Yedikule,34,TRUE,1,41.000679,28.915187,460
Diş Hekimi Bekir Duman,34,TRUE,7,41.039038,28.87638,438
Diş Hekimi Babek Zaman,34,TRUE,7,41.038633,28.873114,438
Şahmar Optik,34,TRUE,5,41.049184,28.921344,440
Yılmaz Optik,34,TRUE,5,40.993785,28.904344,460
Şener Optik,34,TRUE,5,41.011057,28.873916,443
Asır Psikoteknik Değerlendirme Merkezi,34,TRUE,10,40.994582,28.908648,460
Diş Hekimi Görkem Özbilen,34,TRUE,7,41.000284,28.894457,460
Özel Dişlife Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,40.994362,28.910496,460
Ece Medikal,34,TRUE,1,40.997426,28.915289,460
Diş Hekimi Dr.Berkay Çelik,34,TRUE,7,40.995237,28.910941,460
Esenler Özel Sağlık Kabini,34,TRUE,18,41.036507,28.879225,438
Diş Hekimi Kumral Sarıkaya,34,TRUE,7,40.980646,28.875524,428
Diş Hekimi Beşir Tahiroğlu,34,TRUE,7,40.992906,28.903649,460
S.B.Ü.Bakırköy Prof. Dr. Mazhar Osman,34,TRUE,4,41.031663,28.87692,443
Ailem Dental Ağız ve Diş Sağlığı Polikliniği,34,TRUE,16,41.080141,28.964486,445
Deniz Optik,34,TRUE,5,41.024962,28.872807,443
Diş Hekimi Mustafa Güven,34,TRUE,7,41.033576,28.882836,438
Diş Hekimi Latif Karaoğlu,34,TRUE,7,41.004122,28.905472,460
Diş Hekimi,34,TRUE,7,41.038994,28.8755,438
Diş Hekimi Zekiye Güler,34,TRUE,7,41.04033,28.861837,438
Mustafa İsmailoğlu,34,TRUE,7,40.994946,28.902672,460
Medikal Tıbbi Cihazlar,34,TRUE,1,41.043903,28.878885,438
Diş Hekimi,34,TRUE,7,41.024794,28.872147,443
Akın Optik,34,TRUE,5,41.025854,28.871919,443
Diş Hekimi Sonay Öztan Gökhan,34,TRUE,7,41.024695,28.871859,443
Diş Hekimi Mümin Hacı Süleyman,34,TRUE,7,41.025205,28.872499,443
Esenler Özel Huzur Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,41.042215,28.880578,438
İnci Sağlık Kabini,34,TRUE,18,40.985494,28.901771,460
Diş Hekimi Fatma Pektuncer,34,TRUE,7,41.032675,28.876453,438
Özel Mediksn Sağlık Kabini,34,TRUE,18,41.044666,28.869234,438
Dyt. Özge Demirbaş,34,TRUE,8,40.994247,28.904103,460
Gözde Optik,34,TRUE,5,41.011327,28.873707,443
Diş Hekimi Osman Genç,34,TRUE,7,40.994543,28.908729,460
Yeni Uğur Optik,34,TRUE,5,40.996696,28.915185,460
İbrahim Tan,34,TRUE,7,41.080752,28.963698,445
Sirkeci Aile Sağlığı Merkezi,34,TRUE,12,41.012241,28.977517,441
Lider Optik,34,TRUE,5,40.979485,28.87397,428
Burç Optik,34,TRUE,5,40.979578,28.873927,428
Öz Koçak Optik,34,TRUE,5,41.003482,28.906876,460
Uygur Zade Doğal Yaşam Merkezi,34,TRUE,19,40.985511,28.89819,460
Özel Bağcılar Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.034098,28.858422,426
Diş Hekimi Yusuf Gündoğdu,34,TRUE,7,41.050158,28.919141,440
Gören Optik,34,TRUE,5,41.023962,28.872016,443
Diş Hekimi Selim Özakar,34,TRUE,7,40.984579,28.895366,460
Dünya Dental,34,TRUE,15,41.013019,28.940068,441
Tolga Dental,34,TRUE,15,41.013084,28.940106,441
Özel Şifa Sağlık Kabini,34,TRUE,18,41.077928,28.961735,445
Endostall,34,TRUE,1,41.012366,28.940148,441
Ssca Medikal,34,TRUE,1,41.012229,28.940396,441
Saray Optik,34,TRUE,5,41.010863,28.953642,441
Özel Yeşiltepe Polikliniği,34,TRUE,2,40.994665,28.902629,460
Tillo Optik,34,TRUE,5,41.015666,28.952308,441
Fatih Topçu Diş Deposu,34,TRUE,1,41.013788,28.940018,441
Çıkıkçı Salih,34,TRUE,19,41.00236,28.910995,460
Op.Dr. Umut Suadiye Estetik & Plastik Cerrahi,34,TRUE,4,40.978596,28.873796,428
Öztürk Optik,34,TRUE,5,40.978828,28.874209,428
Diş Hekimi Nizamettin Yıldız,34,TRUE,7,41.038652,28.873264,438
Diş Hekimi Gönül Yıldız,34,TRUE,7,41.012834,28.872154,443
Rois Time,34,TRUE,5,41.0163,28.96923,441
Dent Akdeniz Şifa Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.018848,28.945767,441
Diş Hekimi Halil Gürsel Ayşit,34,TRUE,7,41.014996,28.944367,441
Özel Delfin İşitme Cihazları ve Uygulama Merkezi,34,TRUE,11,41.013317,28.940888,441
Özel Dayıoğlu Diş Polikliniği,34,TRUE,2,40.990347,29.024403,444
Diş Hekimi Hakan Ertan,34,TRUE,7,41.003501,28.9262,441
Park Optik,34,TRUE,5,40.990224,29.023877,444
Diamond Gözlük,34,TRUE,5,41.016621,28.968301,441
Dr. Rahmi Yaşar Yaşat,34,TRUE,4,41.012302,28.941751,441
Güç İthalat Gözlük,34,TRUE,5,41.016786,28.968186,441
Diş Hekimi Mehmet Tülek,34,TRUE,7,41.015776,28.944095,441
World Smile,34,TRUE,2,41.018884,28.945843,441
Kouche Dent,34,TRUE,2,41.013501,28.940501,441
Kaynak Medikal,34,TRUE,1,41.01613,28.968749,441
Diş Hekimi Dr. Omar Akeed,34,TRUE,7,41.018339,28.945324,441
Sonus Dil Konuşma ve Gelişim Merkezi,34,TRUE,19,41.006643,28.939492,441
Diş Hekimi Murat Özturan,34,TRUE,7,41.009035,28.937187,441
Dt.Murat Sözmen,34,TRUE,7,40.994366,28.903884,460
Süvari Optik,34,TRUE,5,41.070817,28.80977,429
Vasos Gözlük,34,TRUE,5,41.016624,28.968139,441
Bereket Ağız ve Diş Sağlığı,34,TRUE,2,41.014839,28.93995,441
Mehmet Özcan Diş Hekimi,34,TRUE,7,41.016414,28.950245,441
Hantaş Gözlük,34,TRUE,5,41.016169,28.969413,441
Medikalci,34,TRUE,1,41.032405,28.947414,441
Şeyda Ersoy Diş Hekimi,34,TRUE,7,41.017682,28.876621,443
Özel Eliz Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.016158,28.930547,441
Özel Çapa Ortodonti Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.014381,28.931984,441
Ardil Optik,34,TRUE,5,41.016468,28.969198,441
Diş Hekimi Erhan Gürsoy,34,TRUE,7,41.021739,28.878685,443
Diyetisyen Işıl Manav,34,TRUE,8,40.978775,28.874481,428
Hedef Medikal,34,TRUE,1,41.00956,28.936629,441
Levent Optik,34,TRUE,5,41.019385,28.940127,441
Selis Dental,34,TRUE,7,41.011059,28.94137,441
Paşa Sağlık Kabini,34,TRUE,18,41.007363,28.942011,441
Mustafa Dinçeler Diş Hekimi,34,TRUE,7,41.018351,28.942213,441
Uzman Diş Hekimi,34,TRUE,7,41.012455,28.940924,441
Dora Dental,34,TRUE,2,41.013647,28.93816,441
Necla Özkandemir Diş Hekimi,34,TRUE,7,41.023811,28.94743,441
Frame Teknik Cihazlar,34,TRUE,1,41.014585,28.93844,441
Saray Optik,34,TRUE,5,41.015904,28.929823,441
Prof. Dr. Musa Torun,34,TRUE,4,41.01963,28.946966,441
Adt Dental,34,TRUE,2,41.014132,28.938265,441
Atasun Optik,34,TRUE,5,40.99096,29.024215,444
İnter Optik,34,TRUE,5,40.992569,29.029692,444
Atasun Optik,34,TRUE,5,40.991505,29.028372,444
Özel Estetik Med,34,TRUE,3,41.015974,28.943692,441
Şaşmaz Optik,34,TRUE,5,40.991537,29.028635,444
Öztürk Optik,34,TRUE,5,41.019618,28.947125,441
Gözlükçü,34,TRUE,5,41.033507,28.946294,441
Caner Gür Diş Hekimi,34,TRUE,7,40.989578,29.023865,444
Taşçılar Optik,34,TRUE,5,40.990869,29.024416,444
Salih Bozkurt Optik,34,TRUE,5,41.013766,28.970299,441
Uzunoğlu Özel Sağlık Hizmetleri,34,TRUE,14,40.993028,29.03021,444
Op. Dr. Berrin Asker,34,TRUE,4,41.013299,28.931895,441
Diş Hekimi Osman Bektay,34,TRUE,7,41.015425,28.929246,441
Özel Onur Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.01899,28.952974,441
Diş Hekimi Orhan Öcal,34,TRUE,7,41.012846,28.941571,441
Diş Hekimi Kemaleddin Muhsin Karaağaç,34,TRUE,7,41.018304,28.948118,441
Seyahat Sağlığı Merkezi,34,TRUE,19,41.022053,28.976799,434
Dmr Medikal,34,TRUE,1,41.014197,28.932075,441
Dopa Dış Ticaret,34,TRUE,15,41.01044,28.93682,441
Diş Hekimi Türkan Ataman,34,TRUE,7,41.017615,28.944076,441
Uzm. Dr. Nurdan Keskin,34,TRUE,4,41.013229,28.940837,441
Gül Medikal,34,TRUE,1,41.012698,28.940997,441
Asri Diş Deposu,34,TRUE,1,41.014415,28.938249,441
Boğaziçi Diş Deposu,34,TRUE,1,41.013355,28.941172,441
Mtk Diş Deposu,34,TRUE,1,41.01386,28.938765,441
Es As Diş Deposu,34,TRUE,1,41.01361,28.939159,441
Mega Diş Deposu,34,TRUE,1,41.013803,28.940378,441
Op. Dr. Emel Güler,34,TRUE,4,41.049325,29.025093,431
Diş Hekimi Esmeray İmanova,34,TRUE,7,41.010991,28.941057,441
Yeşim Optik,34,TRUE,5,41.003795,28.927903,441
Kolaylık Medikal,34,TRUE,1,41.014687,28.93282,441
Özel Opak Ağız ve Diş Sağlığı Merkezi,34,TRUE,2,41.01683,28.94315,441
Reform Optik,34,TRUE,5,41.0067,28.934454,441
Diş Hekimi Abdullah Özkaraoğlu,34,TRUE,7,41.014217,28.930412,441
Er Medikal,34,TRUE,1,41.016031,28.969354,441
Uzman Diyetisyen Fatma Karahasanoğlu,34,TRUE,8,41.023803,28.947406,441
Diş Hekimi Hatice Bilen,34,TRUE,7,41.003201,28.9258,441
Ortaköy Optik,34,TRUE,5,41.053477,29.023328,431
Zeta Dental Diş Laboratuvarı,34,TRUE,15,41.033032,28.858849,426
Prof. Dr. Nermin Güler Çocuk Sağlığı ve Hastalıkları Uzmanı,34,TRUE,4,41.011445,28.953655,441
İstanbul Psikoloji,34,TRUE,6,41.017034,28.949411,441
Diş Hekimi Nasrettin Üvet,34,TRUE,7,41.049897,29.025506,431
Garanti Diş Laboratuvarı,34,TRUE,15,41.020507,28.960219,441
Diş Hekimi Güneş Salih Yavuzcan,34,TRUE,7,41.007354,28.953792,441
Diş Hekimi Sevgi Tomruk Akbaba,34,TRUE,7,41.006912,28.952418,441
Atlas Optik,34,TRUE,5,40.997791,29.033061,444
Akupunktur Dr. Ali Özden Öztürk,34,TRUE,4,41.00638,29.033946,444
Diş Hekimi Emcet Salih,34,TRUE,7,41.09494,28.907458,454
Medikal Ortopedi,34,TRUE,1,41.002543,29.028505,444
Mim Optik,34,TRUE,5,41.044467,28.879593,438
Felipe Medikal,34,TRUE,1,41.021037,28.589015,435
Diş Hekimi Dt. M. Denizhan Uzunpınar,34,TRUE,7,41.011823,29.038478,444
Özel Dentart Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.009214,29.037136,444
Öz Numune Optik,34,TRUE,5,41.003117,29.02807,444
Uzm. Psikolog Eylem Ceyhan,34,TRUE,6,41.052526,29.023928,431
Diş Hekimi Tansel Tolan,34,TRUE,7,41.05107,29.024537,431
Diş Hekimi Suat Çolak,34,TRUE,7,41.076823,28.882662,442
Nehir Optik,34,TRUE,5,41.077566,28.889386,442
Özel Büyükçekmece Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.019738,28.593056,435
Duramed Sağlık Hizmetleri,34,TRUE,1,41.020219,29.032504,459
Dental İmplant Clinic,34,TRUE,2,41.145485,28.459176,436
Yeditepe Üniversitesi Koşuyolu Hastanesi,34,TRUE,21,41.004167,29.031112,444
Diş Hekimi Can Sönmez,34,TRUE,7,41.008977,28.965607,441
Özel Medi Time Cerrahi Tıp Merkezi,34,TRUE,14,40.986799,29.171436,424
Diş Hekimi Dr. Dt. Pelin Gökalp Kalabay,34,TRUE,7,40.986241,29.174005,424
Diş Hekimi Filiz Yıldız,34,TRUE,7,41.028546,29.224291,437
Özel Mimaroba Sağlık Kabini,34,TRUE,18,41.002651,28.534284,435
Yaren Sağlıklı Yaşam ve Kilo Kontrol Merkezi,34,TRUE,19,41.100467,28.878081,454
Odyobest İşitme Cihazları,34,TRUE,11,41.065783,28.971906,445
Diş Hekimi N.Gülşen Çolak,34,TRUE,7,41.028536,29.224284,437
Özel Dent Pozitif Ağız ve Diş Sağlığı Polikinliği,34,TRUE,2,41.01612,28.655648,439
Psikolojik Danışmanlık Merkezi,34,TRUE,6,40.983583,28.637457,433
Ada Optik,34,TRUE,5,41.002717,28.531991,435
Diş Hekimi Tuba Dağ,34,TRUE,7,41.019567,28.66496,439
İlgi Sağlık Kabini,34,TRUE,18,40.980684,28.63952,433
Medikal Murat,34,TRUE,1,41.066797,28.974399,445
Çınar Medikal,34,TRUE,1,41.066245,28.972833,445
By Avşar Optik,34,TRUE,5,41.066178,28.972603,445
Okmeydanı Eğitim ve Araştırma Hastanesi Gülbahar Semt Polikinliği,34,TRUE,22,41.076287,28.996056,456
Bay Ziya Optik,34,TRUE,5,41.068562,28.974145,445
Menaz Sağlık,34,TRUE,1,41.039195,28.680996,439
İnci Park Ağız ve Diş Sağlığı Polikinliği,34,TRUE,2,41.009964,28.668678,439
Nur Optik,34,TRUE,5,41.075773,28.882326,442
Özel Taşlıtepe Diş Polikliniği,34,TRUE,2,41.075692,28.74986,429
Nil Optik,34,TRUE,5,41.058831,28.930955,442
Uzman Sağlık Kabini,34,TRUE,18,41.077346,28.750667,429
Güvercintepe Sağlık Kabini,34,TRUE,18,41.084014,28.751176,429
Ada Optik,34,TRUE,5,41.0486,28.859986,438
Diş Hekimi Yusuf Kılınç,34,TRUE,7,41.047945,28.860153,438
Diş Hekimi Şafak Tezcan,34,TRUE,7,40.986899,29.035881,444
Sağlık Kabini,34,TRUE,18,40.985812,29.024517,444
Solarıs,34,TRUE,5,41.052975,28.989658,456
Çağrı İşitme Cihazları,34,TRUE,11,40.990073,29.028616,444
Diş Hekimi Fatma Türel,34,TRUE,7,41.073612,28.980679,445
Çağlayan Optik,34,TRUE,5,41.072782,28.980256,445
Op. Dr. Mehmet Halit Işıklar,34,TRUE,4,41.053771,28.995639,456
Diş Hekimi Ayhan Deniz,34,TRUE,7,41.072822,28.980267,445
Diş Hekimi Rıdvan Taşlıtepe,34,TRUE,7,41.077405,28.750669,429
Özel Klinik No.2 Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.038307,28.858886,426
Fatih Perde,34,TRUE,1,41.045126,28.859726,426
Yeni Moda Optik,34,TRUE,5,40.985377,29.037547,444
Özel Sağlık Kabini,34,TRUE,18,41.07842,28.980763,445
Odak Optik,34,TRUE,5,41.051623,28.991659,456
Özel Çağlayan Sağlık Kabini,34,TRUE,18,41.07421,28.981544,445
Levent Medikal,34,TRUE,1,41.080333,29.006683,445
Özel 32 Diş Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.081804,28.918807,440
Dr. Şeyhmus Aydın,34,TRUE,4,40.976286,29.041321,444
Doğal Sağlık Hizmetleri,34,TRUE,19,40.975483,29.041058,444
Diş Hekimi Refet Özoruç,34,TRUE,7,40.974408,29.044016,444
Prof. Dr. Semih Takka,34,TRUE,4,40.982151,29.037453,444
Diyetisyen Gizem Eti,34,TRUE,8,40.980582,28.708716,425
Özel Şifa Kadın Doğum Merkezi,34,TRUE,17,41.082065,28.918082,440
Dr. Tahsin İncemehmet,34,TRUE,4,41.082146,28.918045,440
Fsm Tıp Merkezi,34,TRUE,14,41.032501,29.177372,437
Özel Afsdent Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.031207,29.17244,437
May İşitme Cihazları,34,TRUE,11,40.982526,28.721453,425
Özel Nirvana Dent Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,40.981182,28.720804,425
Diş Hekimi Şirin Mutlu,34,TRUE,7,40.979974,28.72242,425
Uzman Diyetisyen Gizem Yaman,34,TRUE,8,40.980171,28.719539,425
Özel Medicana Hospital Hastanesi Avcılar,34,TRUE,17,40.981136,28.721046,425
Poylin Medikal,34,TRUE,1,40.980379,28.730419,425
Özel Ets Psikoteknik,34,TRUE,10,41.008362,29.224139,450
Ortopedium,34,TRUE,1,41.061619,28.987069,456
Diş Hekimi Meral Erbaş,34,TRUE,7,40.985489,29.048488,444
Medistanbul Hastanesi,34,TRUE,17,41.179555,28.88416,440
Özel Dentacom Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.0725,29.0273,431
Özel Etiler Sistem Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.079101,29.0257,431
Özel My Zekeriyaköy Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.2056,29.021901,451
Özel Dentvizyon Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.211,29.0367,451
Özel Clinic Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.085506,29.009533,431
Bağcılar Özel Dentaworld Ağız ve Diş Sağlığı Polikliniği,34,TRUE,2,41.0296,28.869401,426
